
============================================================
Trace references:
          race_id gender  reference_time  reference_log  reference_std  n_total  n_used
Казанский марафон      M          5889.0       8.680841      46.639416     9979     401
 Чемпионат России      M          8090.5       8.998446      28.114487      247      10
       Белые ночи      M         10530.0       9.261984      41.160818    10149     407
     Дорога жизни      M         10601.5       9.268751      31.812911     8393     336
 Пермский марафон      M          9755.0       9.185535     122.680975     1863      75
Казанский марафон      F          6272.0       8.743851      78.218873     2406      96
       Белые ночи      F         11510.5       9.351015     185.598523     2202      88
 Пермский марафон      F          9585.0       9.167955     149.148040      286      12
     Дорога жизни      F         11928.0       9.386644     114.266759     2387      97
 Чемпионат России      F          8932.0       9.097396      43.792304       64       3

============================================================
Age references (by race):

Казанский марафон:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     F   45          16276.0        9.697447      378.673812       37   143393.855678
     F   46          17178.0        9.751385      668.358498       35   446703.081307
     F   47          16628.0        9.718843      589.676325       36   347718.168442
     F   51          16415.0        9.705951      464.865664       30   216100.086030
     M   20          14840.5        9.605115      313.627831      104    98362.416325
     M   21          14947.0        9.612266      251.930604      136    63469.029121
     M   22          15024.0        9.617404      311.122413      117    96797.155779
     M   23          14314.5        9.569028      377.023890      128   142147.013310
     M   24          14971.0        9.613870      337.936783      151   114201.269322
     M   25          15354.5        9.639164      218.460187      194    47724.853461
     M   26          14833.0        9.604610      269.869601      256    72829.601407
     M   27          14582.0        9.587543      212.628066      306    45210.694416
     M   28          14946.5        9.612232      191.093039      368    36516.549441
     M   29          14570.0        9.586720      151.990997      419    23101.263291
     M   30          14803.0        9.602585      199.122908      441    39649.932638
     M   31          14778.0        9.600895      177.813382      463    31617.598970
     M   32          14681.0        9.594309      174.826560      477    30564.326030
     M   33          14339.0        9.570738      148.524466      465    22059.516960
     M   34          14790.5        9.601740      214.070024      452    45825.974975
     M   35          14668.0        9.593424      168.200765      409    28291.497261
     M   36          14339.5        9.570773      145.793512      428    21255.748141
     M   37          14632.0        9.590966      208.921791      359    43648.314548
     M   38          14421.0        9.576441      165.056194      328    27243.547230
     M   39          14774.5        9.600658      216.693974      304    46956.278266
     M   40          14370.0        9.572898      146.199448      280    21374.278737
     M   41          14338.0        9.570669      137.469931      259    18897.981809
     M   42          14945.0        9.612132      250.042634      230    62521.318938
     M   43          14310.0        9.568714      236.077250      230    55732.467833
     M   44          14542.0        9.584796      204.110119      227    41660.940477
     M   45          14099.0        9.553859      227.222649      225    51630.132437
     M   46          14407.0        9.575469      255.292295      193    65174.155879
     M   47          14560.0        9.586033      307.446023      187    94523.057261
     M   48          14520.0        9.583282      289.196639      160    83634.695923
     M   49          14294.5        9.567630      219.869382      136    48342.545069
     M   50          14872.0        9.607236      234.123615      137    54813.867236
     M   51          14233.0        9.563318      237.711196      129    56506.612663
     M   52          14977.0        9.614271      293.506515      120    86146.074315
     M   53          14779.0        9.600963      331.069064      130   109606.725101
     M   54          15775.0        9.666182      348.226937      110   121261.999472
     M   55          14691.0        9.594990      283.442368      109    80339.575854
     M   56          14812.0        9.603193      357.197495      106   127590.050496
     M   57          15090.5        9.621821      308.183610      114    94977.137682
     M   58          15215.0        9.630037      387.818772       92   150403.399994
     M   59          15154.0        9.626020      314.300959       75    98785.092563
     M   60          16342.5        9.701524      468.159488       84   219173.306476
     M   61          15469.0        9.646593      455.881982       73   207828.381281
     M   62          16371.5        9.703297      384.341332       62   147718.259742
     M   63          15716.0        9.662435      443.900747       62   197047.873342
